product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,product_category_idx,product_category_vec,unscaled_features,features,prediction
0198245971,Phenomenology of Spirit,Books,61,944,1544,11,0,3.8524590163934427,15.475409836065573,25.311475409836067,4.2727272727272725,,64.34426229508196,2.58409544042306,0.6113989637305699,0.18032786885245902,0.0,0.32323232323232326,0.32323232323232326,2.0,"(0.0, 0.0)","[0.0, 0.0, 3.8524590163934427, 61.0, 25.311475409836067, 15.475409836065573]","[0.0, 0.0, 7.661516501794217, 0.2739766563813476, 6.624406647122765, 5.733167846330721]",0.4458609538663646
0790741660,Murder in the First,Video_DVD,67,152,236,24,0,4.492537313432836,2.2686567164179103,3.5223880597014925,4.875,,13.35820895522388,3.6522277262274088,0.6440677966101694,0.3582089552238806,0.0,0.720609936055091,0.720609936055091,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.492537313432836, 67.0, 3.5223880597014925, 2.2686567164179103]","[2.287549822185683, 0.0, 8.93446201901833, 0.3009251799598408, 0.921863719859053, 0.8404681930049716]",0.4128367867305449
1484705270,Every Last Word,Books,34,62,63,1,0,4.411764705882353,1.8235294117647058,1.8529411764705883,5.0,,11.852941176470589,4.400735294117647,0.9841269841269841,0.029411764705882353,0.0,0.7746774677467747,0.7746774677467747,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.411764705882353, 34.0, 1.8529411764705883, 1.8235294117647058]","[0.0, 0.0, 8.773826782405143, 0.15270830027812818, 0.4849435146466928, 0.6755620885724946]",0.6356178736077855
1586486942,"Food Inc.: A Participant Guide: How Industrial Food is Making Us Sicker, Fatter, and Poorer-And What You Can Do About It",Books,93,529,638,59,0,4.548387096774194,5.688172043010753,6.860215053763441,4.576271186440678,,31.032258064516128,4.114699220047012,0.829153605015674,0.6344086021505376,0.0,0.7602760276027603,0.7602760276027603,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.548387096774194, 93.0, 6.860215053763441, 5.688172043010753]","[0.0, 0.0, 9.045532385989302, 0.4177021154666447, 1.7954249393609933, 2.107294437229429]",0.7124895175666291
6305645493,Death Machine,Video_DVD,27,64,127,10,0,3.3333333333333335,2.3703703703703702,4.703703703703703,3.5,,12.555555555555555,2.2840177312399534,0.5039370078740157,0.37037037037037035,0.0,0.2835359426603893,0.2835359426603893,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.3333333333333335, 27.0, 4.703703703703703, 2.3703703703703702]","[2.287549822185683, 0.0, 6.62911356892833, 0.12126835610321943, 1.231032390502304, 0.8781500028278065]",0.17184851698150932
6305941122,A Personal Journey with Martin Scorsese Through American Movies,Video_DVD,48,227,276,31,0,3.8541666666666665,4.729166666666667,5.75,3.2903225806451615,,22.479166666666668,3.5666461624794965,0.822463768115942,0.6458333333333334,0.0,0.9960649286768323,0.9960649286768323,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.8541666666666665, 48.0, 5.75, 4.729166666666667]","[2.287549822185683, 0.0, 7.664912564073381, 0.21558818862794565, 1.504864398625848, 1.7520121638449306]",0.4975904624196072
B00000JGHR,Serial Mom,Video_DVD,72,196,289,30,0,4.625,2.7222222222222223,4.013888888888889,4.7,,17.59722222222222,2.9966656799990132,0.6782006920415224,0.4166666666666667,0.0,0.5140889607195559,0.5140889607195559,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.625, 72.0, 4.013888888888889, 2.7222222222222223]","[2.287549822185683, 0.0, 9.197895076888058, 0.3233822829419185, 1.0504971285093483, 1.0085003938725592]",0.7528155442469312
B00002ND79,Forget Paris,Video_DVD,53,81,110,29,0,4.226415094339623,1.528301886792453,2.0754716981132075,4.758620689655173,,10.30188679245283,3.9333633347784285,0.7363636363636363,0.5471698113207547,0.0,0.3942800927552526,0.3942800927552526,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.226415094339623, 53.0, 2.0754716981132075, 1.528301886792453]","[2.287549822185683, 0.0, 8.40521569494309, 0.23804529161002333, 0.5431832119732347, 0.5661892854317256]",0.37811532672172005
B00003CXNY,Girlfight,Video_DVD,66,114,258,24,0,4.363636363636363,1.7272727272727273,3.909090909090909,4.833333333333333,,11.378787878787879,3.2922440601584984,0.4418604651162791,0.36363636363636365,0.0,0.5140889607195559,0.5140889607195559,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.363636363636363, 66.0, 3.909090909090909, 1.7272727272727273]","[2.287549822185683, 0.0, 8.678112308415267, 0.29643375936342525, 1.0230698678404975, 0.6399019196742398]",0.42402875401349266
B00004U104,If These Walls Could Talk 2,Video_DVD,147,494,949,89,0,4.496598639455782,3.360544217687075,6.45578231292517,4.47191011235955,,19.551020408163264,2.975157221085715,0.5205479452054794,0.6054421768707483,0.0,0.47445717096479517,0.47445717096479517,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.496598639455782, 147.0, 6.45578231292517, 3.360544217687075]","[2.287549822185683, 0.0, 8.942538916452298, 0.6602388276730836, 1.689578603130352, 1.2449792450804937]",0.7881878546756483
